id,date,user,pc,activity
{J3A7-Z5JP56DF-7855PJKX},01/02/2010 08:25:18,RRC0553,PC-6672,Connect
{W1Q8-J7VP80BK-3141KICJ},01/02/2010 08:42:18,RRC0553,PC-6672,Disconnect
{V2X9-M6RX86FT-5876HFTT},01/02/2010 09:04:18,RRC0553,PC-6672,Connect
{G8U2-N0YV97HS-0321CNBR},01/02/2010 09:22:55,BQS0525,PC-0269,Connect
{K9U3-C3CL36ES-2245QHYI},01/02/2010 09:38:58,RAW0915,PC-2113,Connect
{G1N7-L6VI91TC-8049JXWP},01/02/2010 09:39:03,RRC0553,PC-6672,Disconnect
{C3Q9-H8FM41TF-0197RDFX},01/02/2010 09:41:25,RRC0553,PC-6672,Connect
{Z2H1-N5DI43BJ-5382DOVG},01/02/2010 09:44:24,RRC0553,PC-6672,Disconnect
{R2M5-Y4SH41AL-8396QOYF},01/02/2010 09:51:56,RAW0915,PC-2113,Disconnect
{K8O1-Y2RV42WU-5561YFKN},01/02/2010 09:54:17,BQS0525,PC-0269,Disconnect
{J8J0-S2AT84QO-7514TGWB},01/02/2010 10:27:26,BQS0525,PC-0269,Connect
{N3D0-M1EG80XQ-4294LUZA},01/02/2010 10:50:34,BQS0525,PC-0269,Disconnect
{U3M6-Q1HX50EH-6644QMMO},01/02/2010 11:24:49,BQS0525,PC-0269,Connect
{E7G5-Q3XU87FX-6900LEZD},01/02/2010 12:22:36,RAW0915,PC-2113,Connect
{L6A6-T4VS57JP-9740TBXZ},01/02/2010 12:26:44,BQS0525,PC-0269,Disconnect
{M2I2-O7HP86UX-2320DBNX},01/02/2010 12:28:35,RAW0915,PC-2113,Disconnect
{D6H2-K3LV78YL-0941TIVN},01/02/2010 13:23:03,BQS0525,PC-0269,Connect
{D1A3-I2MF87MA-3577PXSA},01/02/2010 13:37:47,BQS0525,PC-0269,Disconnect
{U5Z2-O5MT85YE-4559ZYOO},01/02/2010 15:10:36,BQS0525,PC-0269,Connect
{M7O7-G7RR19YJ-4697VSKD},01/02/2010 15:42:13,BQS0525,PC-0269,Disconnect
{F5L6-M8EX10YM-8659HCIP},01/02/2010 16:34:38,BQS0525,PC-0269,Connect
{E4E4-W9IF53XO-9995FGSZ},01/02/2010 16:44:49,BQS0525,PC-0269,Disconnect
{R8E3-A6AM97EP-9769VNJQ},01/02/2010 19:03:15,AOK0844,PC-4659,Connect
{I9I8-G9PZ24SM-9910BKMR},01/02/2010 19:09:24,AOK0844,PC-4659,Disconnect
{V6A2-N3GN21DZ-6202FOTS},01/03/2010 07:15:40,LBH0942,PC-3640,Connect
{S3C5-B7YZ21GZ-9445DCGQ},01/03/2010 07:28:22,LBH0942,PC-3640,Disconnect
{F9E4-L8HL46XU-6244KFFA},01/03/2010 07:44:58,LBH0942,PC-3640,Connect
{Q3H6-R5UO89CI-9088RHAH},01/03/2010 08:04:04,LBH0942,PC-3640,Disconnect
{F9H8-A6QG91GY-2330LRMH},01/03/2010 08:24:06,LBH0942,PC-3640,Connect
{V2M1-T8WS34NB-5137ZEUM},01/03/2010 08:27:35,LBH0942,PC-3640,Disconnect
{B8U6-P8JE74VA-7415IBON},01/03/2010 09:58:43,LBH0942,PC-3640,Connect
{Y1I2-V0OY37FD-6248FPGI},01/03/2010 09:58:44,LBH0942,PC-3640,Disconnect
{H3A1-D3UB24BS-6633WTRW},01/03/2010 10:21:21,BQS0525,PC-0269,Connect
{S4A9-D1MF25NF-6997TPLD},01/03/2010 10:51:14,BVC0790,PC-0008,Connect
{Z2H8-F9FO84JC-0125NDVO},01/03/2010 11:13:58,BQS0525,PC-0269,Disconnect
{B2G0-D2MR34JH-9462UCCM},01/03/2010 11:17:44,BQS0525,PC-0269,Connect
{T8Q1-M5RQ75VQ-8362HZPU},01/03/2010 11:26:03,BQS0525,PC-0269,Disconnect
{T7Q0-W6JI45JN-8031FPJM},01/03/2010 11:27:15,BQS0525,PC-0269,Connect
{L8S3-A4IP01HP-5164NSFY},01/03/2010 11:28:24,LBH0942,PC-3640,Connect
{V7X4-E8KM17PW-2500GGVF},01/03/2010 11:30:03,BQS0525,PC-0269,Disconnect
{U1P3-W6SX99JV-9568OJWA},01/03/2010 11:36:55,LBH0942,PC-3640,Disconnect
{J8N8-A9YY71TX-4819YMJT},01/03/2010 11:46:12,BVC0790,PC-0008,Disconnect
{V1X7-K0SJ37KD-7064MJGL},01/03/2010 12:57:31,BQS0525,PC-0269,Connect
{H1A0-J6BH73FR-3660LBFW},01/03/2010 13:04:26,BQS0525,PC-0269,Disconnect
{V7V7-R1NA33UA-3202HBZH},01/03/2010 13:26:19,BQS0525,PC-0269,Connect
{J3T0-J8FV29PN-1547KEDP},01/03/2010 13:46:28,LBH0942,PC-3640,Connect
{S2Q3-N2PR00XD-7962JXYZ},01/03/2010 13:56:32,LBH0942,PC-3640,Disconnect
{T4D9-P9FC14LK-3271ZMQV},01/03/2010 13:58:08,BQS0525,PC-0269,Disconnect
{D2R7-J1SC84FI-8829VTWV},01/03/2010 14:18:59,LBH0942,PC-3640,Connect
{N1L6-A0VT92PF-0928UYJB},01/03/2010 14:19:49,BQS0525,PC-0269,Connect
{N4A5-C4LV39ZK-5390SXBC},01/03/2010 14:24:18,BQS0525,PC-0269,Disconnect
{A4N1-G6NS94WF-2615YBFY},01/03/2010 14:27:56,LBH0942,PC-3640,Disconnect
{U6K8-M0MP06JC-3750WHRL},01/03/2010 15:30:58,BQS0525,PC-0269,Connect
{K1W9-N6GC69PT-7804TZPH},01/03/2010 15:38:28,BQS0525,PC-0269,Disconnect
{Y1M2-V2HH93YM-3229STFS},01/03/2010 15:44:40,BQS0525,PC-0269,Connect
{B0V4-Z4BH71FV-0386OXKY},01/03/2010 16:02:17,BQS0525,PC-0269,Disconnect
{A2E1-Z4FE26KD-1177GJCI},01/03/2010 16:02:58,BQS0525,PC-0269,Connect
{D1D1-L4JR31JS-6553YTGX},01/03/2010 16:15:44,LBH0942,PC-3640,Connect
{G9D8-W5GL23GC-4198VENY},01/03/2010 16:20:00,LBH0942,PC-3640,Disconnect
{S5Q6-Y2WB44OU-8851IMNX},01/03/2010 16:31:31,BQS0525,PC-0269,Disconnect
