id,date,user,pc,activity
{S9A0-A3DP89HG-6719JORU},01/02/2010 07:14:00,CTR0341,PC-6184,Logon
{R5X8-U7BE31CB-8813MEER},01/02/2010 07:37:00,JKJ0698,PC-1917,Logon
{P8J8-N0SM22CA-4356ABQB},01/02/2010 07:46:00,RRC0553,PC-6672,Logon
{Q0C9-O0SK97VF-2901JTEV},01/02/2010 08:07:00,YIC0195,PC-9353,Logon
{W7W1-Z2GJ48AQ-3263DZPJ},01/02/2010 08:13:00,NAH0503,PC-8267,Logon
{T5E9-I4LT41MQ-5313JWSE},01/02/2010 08:20:00,AOK0844,PC-4659,Logon
{Y3V5-Q2UP92TQ-2975NODY},01/02/2010 08:22:00,RAW0915,PC-2113,Logon
{D2B5-T7KG62LO-3885YEJY},01/02/2010 08:53:00,BQS0525,PC-0269,Logon
{K3Q0-Z7YW31RE-2309YJPX},01/02/2010 08:54:00,IAR0694,PC-2804,Logon
{K9P7-X9NQ10UL-4304PVQD},01/02/2010 08:55:00,SMH0291,PC-3571,Logon
{Y0J2-Z8LN95PN-5467OUOP},01/02/2010 09:01:00,DAR0885,PC-1312,Logon
{L4T8-T9IU13OH-2799XSWU},01/02/2010 11:03:39,RRC0553,PC-6672,Logon
{N3J3-F4KM92IM-3476IKHZ},01/02/2010 12:50:51,CTR0341,PC-6184,Logon
{C0R1-J8TS29QN-8664QKQM},01/02/2010 14:06:20,RAW0915,PC-2113,Logon
{I6C3-X6ED47IX-7641UKQQ},01/02/2010 16:51:00,JKJ0698,PC-1917,Logoff
{W3A8-N4FV93TG-8293UPHU},01/02/2010 17:03:00,BQS0525,PC-0269,Logoff
{F5O0-U6JQ60BG-1492ZNUC},01/02/2010 17:19:00,NAH0503,PC-8267,Logoff
{W9W0-V7MF74GY-1051WRYM},01/02/2010 18:03:00,RRC0553,PC-6672,Logoff
{Q3Y9-O0AE52WL-9104LANY},01/02/2010 18:13:00,SMH0291,PC-3571,Logoff
{K1P3-A3HO37YU-4185JBUP},01/02/2010 18:19:00,DAR0885,PC-1312,Logoff
{T8E8-Z9FU65SZ-6407BQJX},01/02/2010 18:29:00,CTR0341,PC-6184,Logoff
{K7M0-Z8MO33JD-2177WKPW},01/02/2010 18:30:00,YIC0195,PC-9353,Logoff
{O8A9-R3AT26TO-9784PBNO},01/02/2010 19:00:00,IAR0694,PC-2804,Logoff
{O0T6-E3DG90UZ-0591GTXN},01/02/2010 19:42:00,AOK0844,PC-4659,Logoff
{P3A0-D9GU45TF-5482XIYH},01/02/2010 19:45:00,RAW0915,PC-2113,Logoff
{A6B1-R0IS63PX-3297RHYS},01/03/2010 07:13:00,LBH0942,PC-3640,Logon
{Q7Z2-P3BM15FF-8298FTOR},01/03/2010 07:15:00,CTR0341,PC-6184,Logon
{R9R5-A6PX65RV-8475TGJW},01/03/2010 07:48:00,RAM0447,PC-2697,Logon
{E5F9-E9NG69KV-1943TWID},01/03/2010 07:49:00,JKJ0698,PC-1917,Logon
{O8A8-L1CM67JV-6342SCOM},01/03/2010 08:15:00,AOK0844,PC-4659,Logon
{O0F4-O2MW75SV-5347XAPH},01/03/2010 08:15:00,YIC0195,PC-9353,Logon
{I2V1-T1RA68RO-2301MXAT},01/03/2010 08:45:00,SMH0291,PC-3571,Logon
{Z0V3-B2GX18JS-5977MJEA},01/03/2010 08:52:00,MDH0686,PC-9901,Logon
{E0M2-R8HF08PK-6969QLYL},01/03/2010 09:01:00,BVC0790,PC-0008,Logon
{G2T4-Z8VA77OT-8374MTXT},01/03/2010 09:03:00,BQS0525,PC-0269,Logon
{M5E2-X1AG77HS-1094LRFQ},01/03/2010 09:17:00,DAR0885,PC-1312,Logon
{D4T6-A4JR20OX-2156XHCY},01/03/2010 11:59:10,CTR0341,PC-6184,Logon
